epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,223.646,0.62141,0.55448,1.06203,0.88341,0.81829,0.86831,0.62807,0.99601,0.81306,1.3346,0.000382115,0.000382115,0.000382115
76,226.458,0.60469,0.54558,1.04785,0.8803,0.80456,0.86473,0.60074,1.00514,0.82529,1.35511,0.000367967,0.000367967,0.000367967
77,229.232,0.59205,0.54988,1.04062,0.87352,0.82183,0.87559,0.61594,1.02628,0.83921,1.37119,0.00035382,0.00035382,0.00035382
78,232.285,0.58949,0.52613,1.03732,0.8701,0.8306,0.88057,0.61935,0.97915,0.80778,1.32096,0.000339673,0.000339673,0.000339673
79,235.111,0.58661,0.52489,1.03264,0.89543,0.8277,0.87307,0.61139,0.98106,0.83993,1.34638,0.000325526,0.000325526,0.000325526
80,237.902,0.58949,0.51584,1.03726,0.86155,0.81832,0.86164,0.60897,0.99154,0.83905,1.37978,0.000311379,0.000311379,0.000311379
81,240.641,0.59383,0.54537,1.05265,0.89217,0.82493,0.87177,0.60454,0.99035,0.82821,1.36314,0.000297232,0.000297232,0.000297232
82,243.466,0.56694,0.49226,1.03815,0.92834,0.81705,0.8955,0.63898,0.92097,0.79324,1.26654,0.000283085,0.000283085,0.000283085
83,246.314,0.57326,0.51873,1.03604,0.90269,0.80913,0.88463,0.6425,0.94642,0.79759,1.29154,0.000268938,0.000268938,0.000268938
84,249.263,0.57869,0.50755,1.04338,0.89747,0.8146,0.8794,0.64096,0.96935,0.76286,1.32167,0.000254791,0.000254791,0.000254791
85,252.091,0.56366,0.49751,1.04092,0.9016,0.81819,0.87997,0.6428,0.95192,0.73558,1.32633,0.000240644,0.000240644,0.000240644
86,254.854,0.54318,0.49536,1.02488,0.8908,0.83811,0.88253,0.64118,0.92676,0.72197,1.31926,0.000226497,0.000226497,0.000226497
87,257.63,0.56656,0.47403,1.02552,0.90282,0.82863,0.88733,0.66361,0.92687,0.7408,1.30537,0.000212349,0.000212349,0.000212349
88,260.544,0.56011,0.50366,1.02804,0.86622,0.84619,0.88682,0.66103,0.91608,0.75038,1.27891,0.000198202,0.000198202,0.000198202
89,263.601,0.57195,0.51354,1.04155,0.89219,0.84988,0.89928,0.65784,0.93621,0.7547,1.28265,0.000184055,0.000184055,0.000184055
90,266.442,0.55519,0.46961,1.02884,0.89908,0.82364,0.88428,0.65288,0.92124,0.74442,1.28156,0.000169908,0.000169908,0.000169908
91,297.711,0.41863,0.51414,0.95387,0.9249,0.81792,0.88357,0.64011,0.93914,0.78146,1.33797,0.000155761,0.000155761,0.000155761
92,300.766,0.4116,0.40242,0.9456,0.90236,0.80134,0.87161,0.63271,0.953,0.79846,1.39799,0.000141614,0.000141614,0.000141614
93,303.94,0.3623,0.36806,0.92256,0.88969,0.81443,0.87273,0.63687,0.95072,0.81658,1.40345,0.000127467,0.000127467,0.000127467
94,306.793,0.38994,0.33686,0.93454,0.88933,0.82288,0.87533,0.64381,0.93774,0.83703,1.3807,0.00011332,0.00011332,0.00011332
95,309.611,0.35584,0.33232,0.91105,0.91262,0.8394,0.88403,0.65099,0.92835,0.81711,1.35419,9.91726e-05,9.91726e-05,9.91726e-05
96,312.68,0.36718,0.34031,0.93409,0.89627,0.83501,0.88109,0.64379,0.94793,0.80146,1.35431,8.50255e-05,8.50255e-05,8.50255e-05
97,315.474,0.36184,0.3442,0.91271,0.89387,0.8378,0.88337,0.64553,0.94764,0.78575,1.35411,7.08784e-05,7.08784e-05,7.08784e-05
98,318.28,0.3538,0.32068,0.92314,0.89127,0.84044,0.88147,0.64983,0.93684,0.78176,1.34148,5.67313e-05,5.67313e-05,5.67313e-05
99,321.233,0.34203,0.31244,0.90806,0.88865,0.84044,0.88364,0.65225,0.92762,0.77918,1.336,4.25842e-05,4.25842e-05,4.25842e-05
100,324.095,0.34002,0.3,0.92194,0.89761,0.84205,0.88519,0.65161,0.91296,0.78698,1.31675,2.84371e-05,2.84371e-05,2.84371e-05
